protein	scaffold	accession	name
MP_BCQMy204___contig_1_fragment_3_305	MP_BCQMy204___contig_1_fragment_3	VOG00674	REFSEQ putative DNA polymerase
MP_BCQMy204___contig_1_fragment_3_306	MP_BCQMy204___contig_1_fragment_3	VOG00724	sp|P10277|PRIM_BPP4 Putative P4-specific DNA primase
MP_BCQMy204___contig_1_fragment_3_307	MP_BCQMy204___contig_1_fragment_3	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
MP_BCQMy204___contig_1_fragment_3_308	MP_BCQMy204___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_3_309	MP_BCQMy204___contig_1_fragment_3	VOG00679	REFSEQ HNH endonuclease
MP_BCQMy204___contig_1_fragment_3_310	MP_BCQMy204___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_3_311	MP_BCQMy204___contig_1_fragment_3	PF03354.15	Phage Terminase
MP_BCQMy204___contig_1_fragment_3_312	MP_BCQMy204___contig_1_fragment_3	PF04860.12	Phage portal protein
MP_BCQMy204___contig_1_fragment_3_313	MP_BCQMy204___contig_1_fragment_3	K06904	K06904; uncharacterized protein
MP_BCQMy204___contig_1_fragment_3_314	MP_BCQMy204___contig_1_fragment_3	PF05065.13	Phage capsid family
MP_BCQMy204___contig_1_fragment_3_315	MP_BCQMy204___contig_1_fragment_3	VOG23089	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_3_316	MP_BCQMy204___contig_1_fragment_3	VOG23090	REFSEQ head-tail adaptor
MP_BCQMy204___contig_1_fragment_3_317	MP_BCQMy204___contig_1_fragment_3	VOG23091	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_3_318	MP_BCQMy204___contig_1_fragment_3	VOG00973	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_3_319	MP_BCQMy204___contig_1_fragment_3	VOG01397	REFSEQ major tail protein
MP_BCQMy204___contig_1_fragment_3_320	MP_BCQMy204___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_3_321	MP_BCQMy204___contig_1_fragment_3	VOG02333	REFSEQ tail tape measure protein
MP_BCQMy204___contig_1_fragment_3_322	MP_BCQMy204___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_3_323	MP_BCQMy204___contig_1_fragment_3	VOG00824	REFSEQ putative antireceptor
MP_BCQMy204___contig_1_fragment_3_324	MP_BCQMy204___contig_1_fragment_3	VOG13479	REFSEQ gp067
MP_BCQMy204___contig_1_fragment_3_325	MP_BCQMy204___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_3_326	MP_BCQMy204___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_3_327	MP_BCQMy204___contig_1_fragment_3	PF10779.9	Haemolysin XhlA
MP_BCQMy204___contig_1_fragment_3_328	MP_BCQMy204___contig_1_fragment_3	PF16938.5	Putative phage holin Dp-1
MP_BCQMy204___contig_1_fragment_3_329	MP_BCQMy204___contig_1_fragment_3	PF05382.13	Bacteriophage peptidoglycan hydrolase
MP_BCQMy204___contig_1_fragment_5_447	MP_BCQMy204___contig_1_fragment_5	K06977	K06977; uncharacterized protein
MP_BCQMy204___contig_1_fragment_5_448	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_449	MP_BCQMy204___contig_1_fragment_5	PF08282.12	haloacid dehalogenase-like hydrolase
MP_BCQMy204___contig_1_fragment_5_450	MP_BCQMy204___contig_1_fragment_5	VOG00041	sp|O10330|VLF1_NPVOP Very late expression factor 1
MP_BCQMy204___contig_1_fragment_5_451	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_452	MP_BCQMy204___contig_1_fragment_5	PF07553.11	Host cell surface-exposed lipoprotein
MP_BCQMy204___contig_1_fragment_5_453	MP_BCQMy204___contig_1_fragment_5	VOG20253	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_5_454	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_455	MP_BCQMy204___contig_1_fragment_5	VOG10124	sp|O34449|YOQD_BACSU SPBc2 prophage-derived putative antirepressor protein YoqD
MP_BCQMy204___contig_1_fragment_5_456	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_457	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_458	MP_BCQMy204___contig_1_fragment_5	K07741	antB; anti-repressor protein
MP_BCQMy204___contig_1_fragment_5_459	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_460	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_461	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_462	MP_BCQMy204___contig_1_fragment_5	K07741	antB; anti-repressor protein
MP_BCQMy204___contig_1_fragment_5_463	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_464	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_465	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_466	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_467	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_468	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_469	MP_BCQMy204___contig_1_fragment_5	PF03837.14	RecT family
MP_BCQMy204___contig_1_fragment_5_470	MP_BCQMy204___contig_1_fragment_5	PF12684.7	PDDEXK-like domain of unknown function (DUF3799)
MP_BCQMy204___contig_1_fragment_5_471	MP_BCQMy204___contig_1_fragment_5	PF16784.5	Putative HNHc nuclease
MP_BCQMy204___contig_1_fragment_5_472	MP_BCQMy204___contig_1_fragment_5	VOG21431	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_5_473	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_474	MP_BCQMy204___contig_1_fragment_5	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein
MP_BCQMy204___contig_1_fragment_5_475	MP_BCQMy204___contig_1_fragment_5	VOG01162	sp|O34055|ARPU_BPO12 Putative autolysin regulatory protein ArpU
MP_BCQMy204___contig_1_fragment_5_476	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_477	MP_BCQMy204___contig_1_fragment_5	VOG01156	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_5_478	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_479	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_480	MP_BCQMy204___contig_1_fragment_5	VOG00962	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_5_481	MP_BCQMy204___contig_1_fragment_5	VOG00687	REFSEQ terminase small subunit
MP_BCQMy204___contig_1_fragment_5_482	MP_BCQMy204___contig_1_fragment_5	VOG04497	REFSEQ putative terminase small subunit
MP_BCQMy204___contig_1_fragment_5_483	MP_BCQMy204___contig_1_fragment_5	PF04860.12	Phage portal protein
MP_BCQMy204___contig_1_fragment_5_484	MP_BCQMy204___contig_1_fragment_5	K06904	K06904; uncharacterized protein
MP_BCQMy204___contig_1_fragment_5_485	MP_BCQMy204___contig_1_fragment_5	VOG13487	REFSEQ major capsid L
MP_BCQMy204___contig_1_fragment_5_486	MP_BCQMy204___contig_1_fragment_5	VOG00181	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_5_487	MP_BCQMy204___contig_1_fragment_5	VOG00066	sp|O48446|HCP16_BPSPP Head completion protein gp16
MP_BCQMy204___contig_1_fragment_5_488	MP_BCQMy204___contig_1_fragment_5	VOG03575	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_5_489	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_490	MP_BCQMy204___contig_1_fragment_5	VOG01397	REFSEQ major tail protein
MP_BCQMy204___contig_1_fragment_5_491	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_492	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_493	MP_BCQMy204___contig_1_fragment_5	VOG04056	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_5_494	MP_BCQMy204___contig_1_fragment_5	VOG01075	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_5_495	MP_BCQMy204___contig_1_fragment_5	PF06605.11	Prophage endopeptidase tail
MP_BCQMy204___contig_1_fragment_5_496	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_497	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_498	MP_BCQMy204___contig_1_fragment_5	VOG18935	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_5_499	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_500	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_501	MP_BCQMy204___contig_1_fragment_5	PF09693.10	Phage uncharacterised protein (Phage_XkdX)
MP_BCQMy204___contig_1_fragment_5_502	MP_BCQMy204___contig_1_fragment_5	PF10779.9	Haemolysin XhlA
MP_BCQMy204___contig_1_fragment_5_503	MP_BCQMy204___contig_1_fragment_5	PF16938.5	Putative phage holin Dp-1
MP_BCQMy204___contig_1_fragment_5_504	MP_BCQMy204___contig_1_fragment_5	K07273	acm; lysozyme
MP_BCQMy204___contig_1_fragment_5_505	MP_BCQMy204___contig_1_fragment_5	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_5_506	MP_BCQMy204___contig_1_fragment_5	VOG14226	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1116	MP_BCQMy204___contig_1_fragment_11	VOG00041	sp|O10330|VLF1_NPVOP Very late expression factor 1
MP_BCQMy204___contig_1_fragment_11_1117	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1118	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1119	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1120	MP_BCQMy204___contig_1_fragment_11	VOG14094	sp|A0A0H3CCP8|SOCA_CAUVN Antitoxin SocA
MP_BCQMy204___contig_1_fragment_11_1121	MP_BCQMy204___contig_1_fragment_11	K07273	acm; lysozyme
MP_BCQMy204___contig_1_fragment_11_1122	MP_BCQMy204___contig_1_fragment_11	PF16938.5	Putative phage holin Dp-1
MP_BCQMy204___contig_1_fragment_11_1123	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1124	MP_BCQMy204___contig_1_fragment_11	PF09693.10	Phage uncharacterised protein (Phage_XkdX)
MP_BCQMy204___contig_1_fragment_11_1125	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1126	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1127	MP_BCQMy204___contig_1_fragment_11	VOG18935	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1128	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1129	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1130	MP_BCQMy204___contig_1_fragment_11	PF06605.11	Prophage endopeptidase tail
MP_BCQMy204___contig_1_fragment_11_1131	MP_BCQMy204___contig_1_fragment_11	VOG01075	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1132	MP_BCQMy204___contig_1_fragment_11	VOG04056	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1133	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1134	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1135	MP_BCQMy204___contig_1_fragment_11	VOG01397	REFSEQ major tail protein
MP_BCQMy204___contig_1_fragment_11_1136	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1137	MP_BCQMy204___contig_1_fragment_11	VOG03575	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1138	MP_BCQMy204___contig_1_fragment_11	VOG00066	sp|O48446|HCP16_BPSPP Head completion protein gp16
MP_BCQMy204___contig_1_fragment_11_1139	MP_BCQMy204___contig_1_fragment_11	VOG00181	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1140	MP_BCQMy204___contig_1_fragment_11	VOG13487	REFSEQ major capsid L
MP_BCQMy204___contig_1_fragment_11_1141	MP_BCQMy204___contig_1_fragment_11	K06904	K06904; uncharacterized protein
MP_BCQMy204___contig_1_fragment_11_1142	MP_BCQMy204___contig_1_fragment_11	PF04860.12	Phage portal protein
MP_BCQMy204___contig_1_fragment_11_1143	MP_BCQMy204___contig_1_fragment_11	VOG04497	REFSEQ putative terminase small subunit
MP_BCQMy204___contig_1_fragment_11_1144	MP_BCQMy204___contig_1_fragment_11	VOG00687	REFSEQ terminase small subunit
MP_BCQMy204___contig_1_fragment_11_1145	MP_BCQMy204___contig_1_fragment_11	VOG00962	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1146	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1147	MP_BCQMy204___contig_1_fragment_11	VOG00361	sp|P10426|YIM2_BPPH1 Uncharacterized immunity region protein 2
MP_BCQMy204___contig_1_fragment_11_1148	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1149	MP_BCQMy204___contig_1_fragment_11	VOG01162	sp|O34055|ARPU_BPO12 Putative autolysin regulatory protein ArpU
MP_BCQMy204___contig_1_fragment_11_1150	MP_BCQMy204___contig_1_fragment_11	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein
MP_BCQMy204___contig_1_fragment_11_1151	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1152	MP_BCQMy204___contig_1_fragment_11	VOG01042	sp|P39787|DNAD_BACSU DNA replication protein DnaD
MP_BCQMy204___contig_1_fragment_11_1153	MP_BCQMy204___contig_1_fragment_11	PF16784.5	Putative HNHc nuclease
MP_BCQMy204___contig_1_fragment_11_1154	MP_BCQMy204___contig_1_fragment_11	VOG09746	sp|P04892|ERF_BPP22 Essential recombination function protein
MP_BCQMy204___contig_1_fragment_11_1155	MP_BCQMy204___contig_1_fragment_11	VOG11084	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1156	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1157	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1158	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1159	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1160	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1161	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1162	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1163	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1164	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1165	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1166	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1167	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1168	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1169	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1170	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1171	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1172	MP_BCQMy204___contig_1_fragment_11	K07741	antB; anti-repressor protein
MP_BCQMy204___contig_1_fragment_11_1173	MP_BCQMy204___contig_1_fragment_11	VOG14084	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1174	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1175	MP_BCQMy204___contig_1_fragment_11	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_11_1176	MP_BCQMy204___contig_1_fragment_11	PF01381.22	Helix-turn-helix
MP_BCQMy204___contig_1_fragment_11_1177	MP_BCQMy204___contig_1_fragment_11	VOG20253	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_12_1193	MP_BCQMy204___contig_1_fragment_12	PF05382.13	Bacteriophage peptidoglycan hydrolase
MP_BCQMy204___contig_1_fragment_12_1194	MP_BCQMy204___contig_1_fragment_12	PF16938.5	Putative phage holin Dp-1
MP_BCQMy204___contig_1_fragment_12_1195	MP_BCQMy204___contig_1_fragment_12	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_12_1196	MP_BCQMy204___contig_1_fragment_12	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_12_1197	MP_BCQMy204___contig_1_fragment_12	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_12_1198	MP_BCQMy204___contig_1_fragment_12	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_12_1199	MP_BCQMy204___contig_1_fragment_12	VOG13479	REFSEQ gp067
MP_BCQMy204___contig_1_fragment_12_1200	MP_BCQMy204___contig_1_fragment_12	VOG00824	REFSEQ putative antireceptor
MP_BCQMy204___contig_1_fragment_12_1201	MP_BCQMy204___contig_1_fragment_12	VOG00097	sp|O48459|DIT_BPSPP Distal tail protein
MP_BCQMy204___contig_1_fragment_12_1202	MP_BCQMy204___contig_1_fragment_12	VOG02632	REFSEQ gp14
MP_BCQMy204___contig_1_fragment_12_1203	MP_BCQMy204___contig_1_fragment_12	VOG01394	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_12_1204	MP_BCQMy204___contig_1_fragment_12	PF12363.8	"Phage tail assembly chaperone protein, TAC"
MP_BCQMy204___contig_1_fragment_12_1205	MP_BCQMy204___contig_1_fragment_12	VOG00149	sp|A9CRB8|TAIL_BPMR1 Putative tail protein
MP_BCQMy204___contig_1_fragment_12_1206	MP_BCQMy204___contig_1_fragment_12	VOG00743	sp|O48448|COMPL_BPSPP Tail completion protein gp17
MP_BCQMy204___contig_1_fragment_12_1207	MP_BCQMy204___contig_1_fragment_12	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_12_1208	MP_BCQMy204___contig_1_fragment_12	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_12_1209	MP_BCQMy204___contig_1_fragment_12	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]
MP_BCQMy204___contig_1_fragment_12_1210	MP_BCQMy204___contig_1_fragment_12	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
MP_BCQMy204___contig_1_fragment_12_1211	MP_BCQMy204___contig_1_fragment_12	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_12_1212	MP_BCQMy204___contig_1_fragment_12	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_12_1213	MP_BCQMy204___contig_1_fragment_12	VOG00459	REFSEQ putative CI-like transcriptional repressor
MP_BCQMy204___contig_1_fragment_12_1214	MP_BCQMy204___contig_1_fragment_12	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_12_1215	MP_BCQMy204___contig_1_fragment_12	K09022	"ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]"
MP_BCQMy204___contig_1_fragment_12_1216	MP_BCQMy204___contig_1_fragment_12	K02013	ABC.FEV.A; iron complex transport system ATP-binding protein [EC:7.2.2.-]
MP_BCQMy204___contig_1_fragment_14_1431	MP_BCQMy204___contig_1_fragment_14	PF01183.20	Glycosyl hydrolases family 25
MP_BCQMy204___contig_1_fragment_14_1432	MP_BCQMy204___contig_1_fragment_14	VOG02762	REFSEQ holin
MP_BCQMy204___contig_1_fragment_14_1433	MP_BCQMy204___contig_1_fragment_14	None	hypothetical protein
